Test Configuration,D1(mm),D2(mm),D3(mm),D4(mm),P1(N),P2(N),P3(N),P4(N),t1(mm),t2(mm),Fy1(Mpa),Fy2(Mpa),Fu1(Mpa),Fu2(Mpa),screw_diameter (mm)
54_8_13,1.33E-02,1.33E-02,1.037316331,15.11094078,420.4670578,974.8517245,1051.167596,105.1167596,0.31,1.47,332.4,354.63,415.8,466.24,4.19
54_8_19,7.70E-02,0.522760852,3.8222936,14.15854597,713.2669278,1381.968436,1783.149492,178.3149492,0.48,1.47,209,354.63,343.7,466.24,4.19
54_8_30,0.102546455,4.176132276,12.16489309,23.20851518,1932.073954,4193.726231,4830.108388,483.0108388,0.78,1.47,150.4,354.63,312.1,466.24,4.19
54_10_13,1.41E-02,1.41E-02,0.836079121,11.30385435,446.1103053,974.0914999,1115.275712,111.5275712,0.31,1.47,332.4,354.63,415.8,466.24,4.75
54_10_19,0.215604304,0.269924607,2.8576778,15.75010403,690.4040487,1432.720352,1725.996396,172.5996396,0.48,1.47,209,354.63,343.7,466.24,4.75
54_10_30,6.19E-02,1.385651029,6.577184674,17.58095784,1408.238169,2927.025967,3520.568227,352.0568227,0.78,1.47,150.4,354.63,312.1,466.24,4.75
97_10_13,2.08E-02,2.08E-02,2.08E-02,8.743705196,676.2581923,1352.516385,1690.645481,169.0645481,0.31,2.54,332.4,422.4,415.8,534.2,4.75
97_10_19,4.66E-02,5.11E-02,2.3448772,15.80181605,618.8167733,1396.678455,1547.02885,154.702885,0.48,2.54,209,422.4,343.7,534.2,4.75
97_12_30,1.72E-02,1.73E-02,4.51800112,16.01322343,1240.689684,2588.506638,3101.724028,310.1724028,0.78,2.54,150.4,422.4,312.1,534.2,5.38
97_8_30,1.72E-02,1.72E-02,4.571195221,15.43536549,1239.33027,2423.063726,3098.325551,309.8325551,0.78,2.54,150.4,422.4,312.1,534.2,4.19
97_10_30,6.77E-02,0.424200015,4.8427894,17.40780967,1283.904094,2606.906917,3209.741346,320.9741346,0.78,2.54,150.4,422.4,312.1,534.2,4.75
97-10-13-97,3.42E-02,1.182067944,3.41254856,16.44877542,1111.791531,2386.750998,2779.478566,277.9478566,0.31,2.54,332.4,422.4,415.8,534.2,4.75
97-10-19-97,0.355613149,2.7246344,7.3650348,15.79852652,1324.66686,2802.115776,3311.605278,331.1605278,0.48,2.54,209,422.4,343.7,534.2,4.75
97-10-30-97,0.513848801,3.034116419,9.6807274,20.08965863,1914.768023,4181.99266,4786.73549,478.673549,0.78,2.54,150.4,422.4,312.1,534.2,4.75
97-12-30-97,0.351179931,2.747760237,9.5931736,22.83843287,2074.49924,4537.747374,5186.084561,518.6084561,0.78,2.54,150.4,422.4,312.1,534.2,5.38
97-24-30-97,5.45E-02,2.819856496,9.9321874,25.39198482,2087.530191,4706.880619,5218.737021,521.8737021,0.78,2.54,150.4,422.4,312.1,534.2,4.04
118-24-30-118,7.62E-02,2.612919983,10.2754938,28.27600192,1948.916194,4308.063573,4872.374805,487.2374805,0.78,3.11,150.4,449.5,312.1,564.5,4.04
188-12-30,3.55E-02,0.550915128,1.4583918,18.03429858,1459.109655,3133.630671,3647.760774,364.7760774,0.78,4.78,150.4,345,312.1,450,5.38
188-24-30,5.56E-02,0.575922483,3.9182548,17.7630549,1872.03861,4019.144705,4680.073043,468.0073043,0.78,4.78,150.4,345,312.1,450,4.04
375-19-30,9.54E-02,0.911947975,4.1604692,16.5407306,2031.554783,4516.247168,5078.947907,507.8947907,0.78,9.53,150.4,345,312.1,450,4.45
