x,c,tw,kp
25.4,23,0.46,357
25.4,25,0.46,338
25.4,29,0.46,320
25.4,32,0.46,310
25.4,35,0.46,296
25.4,38,0.46,288
25.4,41,0.46,281
25.4,23,0.56,644
25.4,25,0.56,600
25.4,29,0.56,553
25.4,32,0.56,515
25.4,35,0.56,492
25.4,38,0.56,469
25.4,41,0.56,457
5.08,23,0.46,1569
5.08,25,0.46,1421
5.08,29,0.46,1291
5.08,32,0.46,1178
5.08,35,0.46,1081
5.08,38,0.46,992
5.08,41,0.46,922
5.08,23,0.56,1812
5.08,25,0.56,1695
5.08,29,0.56,1578
5.08,32,0.56,1481
5.08,35,0.56,1372
5.08,38,0.56,1307
5.08,41,0.56,1251
45.7,23,0.46,415
45.7,25,0.46,363
45.7,29,0.46,316
45.7,32,0.46,279
45.7,35,0.46,241
45.7,38,0.46,217
45.7,41,0.46,203
45.7,23,0.56,631
45.7,25,0.56,544
45.7,29,0.56,461
45.7,32,0.56,392
45.7,35,0.56,350
45.7,38,0.56,317
45.7,41,0.56,295
